year,month,c1,cat1,target
2015,1,,0,12346
2015,2,,0,11210
2015,3,40.045,0,12237
2015,4,39.86,0,12685
2015,5,42.367,1,12881
2015,6,43.462,1,13644
2015,7,45.092,1,14857
2015,8,48.452,1,13812
2015,9,48.737,1,13402
2015,10,46.264,2,13796
2015,11,46.237,2,12810
2015,12,45.23,0,13171
2016,1,44.168,0,13071
2016,2,44.611,0,12504
2016,3,43.478,0,13519
2016,4,44.239,0,13633
2016,5,46.158,1,14007
2016,6,46.988,1,14398
2016,7,48.288,1,14757
2016,8,49.564,1,14447
2016,9,49.647,1,13345
2016,10,47.246,2,13372
2016,11,45.419,2,13070
2016,12,44.951,0,12923
2017,1,44.188,0,12077
2017,2,42.5,0,11424
2017,3,39.952,0,12345
2017,4,40.407,0,11970
2017,5,41.335,1,12712
2017,6,41.959,1,13143
2017,7,43.954,1,13568
2017,8,45.409,1,13507
2017,9,46.027,1,12266
2017,10,43.814,2,12710
2017,11,42.459,2,12115
2017,12,42.202,0,11630
2018,1,40.366,0,12137
2018,2,40.404,0,10778
2018,3,38.956,0,11817
2018,4,38.412,0,11809
2018,5,40.164,1,11940
2018,6,40.373,1,12572
2018,7,41.67,1,13259
2018,8,43.913,1,13282
2018,9,45.12,1,11940
2018,10,42.877,2,12349
2018,11,41.291,2,11482
2018,12,40.513,0,10946
2019,1,38.128,0,11314
2019,2,37.842,0,10308
2019,3,36.757,0,11406
2019,4,36.914,0,11391
2019,5,38.755,1,11862
2019,6,39.53,1,12039
2019,7,40.632,1,13164
2019,8,42.845,1,12989
2019,9,44.46,1,11506
2019,10,41.642,2,11727
2019,11,39.496,2,10616
2019,12,37.983,0,10480
2020,1,35.863,0,10556
2020,2,35.761,0,9789
2020,3,34.586,0,10353
2020,4,34.241,0,10190
2020,5,34.923,1,10482
2020,6,35.142,1,11182
2020,7,36.829,1,11439
2020,8,38.456,1,11513
2020,9,39.018,1,10918
2020,10,38.133,2,11062
2020,11,37.366,2,10514
2020,12,36.679,0,10154
2021,1,35.136,0,9018
2021,2,32.592,0,8948
2021,3,30.542,0,10460
2021,4,32.994,0,10317
2021,5,35.321,1,11052
2021,6,36.327,1,11637
2021,7,38.571,1,11872
2021,8,39.965,1,11334
2021,9,39.45,1,11140
2021,10,38.206,2,11236
2021,11,38.039,2,10648
2021,12,37.203,0,10800
2022,1,36.462,0,10055
2022,2,35.454,0,9496
2022,3,33.237,0,10189
2022,4,33.464,0,9638
2022,5,33.706,1,10155
2022,6,33.648,1,11146
2022,7,36.212,1,11509
2022,8,38.514,1,11647
2022,9,39.365,1,10844
2022,10,38.235,2,10248
2022,11,35.856,2,9653
2022,12,33.832,0,10195
2023,1,33.742,0,9726
2023,2,33.866,0,8885
2023,3,31.639,0,10281
2023,4,32.582,0,9404
2023,5,33.464,1,9929
2023,6,32.866,1,10443
2023,7,34.632,1,10844
2023,8,36.188,1,10893
2023,9,36.953,1,9778
2023,10,35.141,2,10427
2023,11,34.348,2,9739
2023,12,34.282,0,9771
2024,1,33.167,0,9661
2024,2,33.034,0,9055
2024,3,31.817,0,8915
2024,4,30.549,0,9354
2024,5,31.057,1,10424
2024,6,33.623,1,10398
2024,7,35.397,1,11413
2024,8,37.079,1,10995
2024,9,38.094,1,9947
2024,10,35.601,2,10629
2024,11,34.979,2,9751
2024,12,34.646,0,9225
2025,1,32.259,0,8927
2025,2,30.858,0,8152
2025,3,29.034,0,6611

